MTS,volume,close,high,low,open
2018/6/24 8:00,322270.7663,0.4809,0.5092,0.4457,0.5059
2018/6/25 8:00,209639.6639,0.5083,0.5263,0.4521,0.4763
2018/6/26 8:00,99481.0797,0.4766,0.5277,0.4766,0.513
2018/6/27 8:00,123090.7097,0.4955,0.4955,0.4583,0.4767
2018/6/28 8:00,111736.1426,0.4606,0.4976,0.4583,0.4976
2018/6/29 8:00,125110.1044,0.48,0.483,0.4505,0.4631
2018/6/30 8:00,181823.161,0.5188,0.5256,0.4805,0.4805
2018/7/1 8:00,175354.4227,0.5354,0.57,0.5091,0.5188
2018/7/2 8:00,150477.8146,0.5785,0.5969,0.5143,0.5355
2018/7/3 8:00,217517.031,0.5576,0.6442,0.5573,0.5768
2018/7/4 8:00,179091.7773,0.5822,0.6148,0.5353,0.558
2018/7/5 8:00,174926.1203,0.56,0.5941,0.54,0.5822
2018/7/6 8:00,165480.0026,0.5473,0.5648,0.5145,0.5644
2018/7/7 8:00,153454.6344,0.5414,0.5569,0.5101,0.545
2018/7/8 8:00,129765.8274,0.5424,0.5447,0.521,0.5409
2018/7/9 8:00,104906.2331,0.4977,0.544,0.4977,0.5352
2018/7/10 8:00,242175.7621,0.433,0.4977,0.43,0.4977
2018/7/11 8:00,209765.3531,0.4252,0.44,0.4101,0.4369
2018/7/12 8:00,205790.4435,0.4238,0.4364,0.4,0.4247
2018/7/13 8:00,128856.272,0.4189,0.4443,0.4066,0.4238
2018/7/14 8:00,76550.15008,0.4101,0.4344,0.4023,0.4223
2018/7/15 8:00,124381.855,0.4305,0.4392,0.4048,0.41
2018/7/16 8:00,209017.9869,0.4645,0.4953,0.4165,0.4304
2018/7/17 8:00,255697.2037,0.4892,0.4962,0.4325,0.4643
2018/7/18 8:00,325182.409,0.4839,0.529,0.478,0.4863
2018/7/19 8:00,218494.9351,0.4602,0.4822,0.4517,0.4822
2018/7/20 8:00,126029.6364,0.4108,0.4592,0.4,0.4592
2018/7/21 8:00,74639.6363,0.4257,0.4341,0.4088,0.4111
2018/7/22 8:00,50723.23612,0.4142,0.4498,0.4142,0.425
2018/7/23 8:00,99274.79191,0.4071,0.4386,0.406,0.4145
2018/7/24 8:00,112863.4785,0.4319,0.4437,0.4072,0.4165
2018/7/25 8:00,216302.3977,0.4339,0.47,0.4233,0.4336
2018/7/26 8:00,163419.5293,0.411,0.4492,0.411,0.4378
2018/7/27 8:00,110936.3505,0.4146,0.4377,0.405,0.411
2018/7/28 8:00,63916.11144,0.4128,0.4203,0.4067,0.415
2018/7/29 8:00,96651.04993,0.4036,0.4135,0.3958,0.4128
2018/7/30 8:00,121101.7533,0.3839,0.4022,0.3713,0.3995
2018/7/31 8:00,234432.565,0.3329,0.382,0.3299,0.3776
2018/8/1 8:00,218653.7005,0.315,0.3396,0.311,0.3337
2018/8/2 8:00,158629.4292,0.2886,0.3385,0.2847,0.3216
2018/8/3 8:00,284822.5585,0.288,0.2921,0.2536,0.2877
2018/8/4 8:00,129963.202,0.273,0.2988,0.2587,0.2849
2018/8/5 8:00,93061.41491,0.28,0.291,0.2603,0.2696
2018/8/6 8:00,47672.17913,0.2674,0.2867,0.2635,0.2798
2018/8/7 8:00,129470.5316,0.2601,0.29,0.2563,0.2666
2018/8/8 8:00,172923.5157,0.2135,0.2563,0.2132,0.2563
2018/8/9 8:00,173009.0909,0.2202,0.2307,0.2002,0.2135
2018/8/10 8:00,134716.3344,0.1962,0.2306,0.1962,0.2212
2018/8/11 8:00,195670.4567,0.1749,0.2013,0.1669,0.2013
2018/8/12 8:00,137328.5382,0.1826,0.1891,0.1722,0.1735
2018/8/13 8:00,123384.5398,0.1732,0.1897,0.1732,0.1801
2018/8/14 8:00,291281.711,0.1535,0.1779,0.1434,0.1777
2018/8/15 8:00,177000.9475,0.1497,0.1729,0.1497,0.1552
2018/8/16 8:00,360383.7229,0.1438,0.1547,0.1364,0.1496
2018/8/17 8:00,457231.6488,0.1793,0.185,0.1438,0.144
2018/8/18 8:00,507193.3605,0.1573,0.2129,0.1518,0.1803
2018/8/19 8:00,215387.734,0.1714,0.18,0.1572,0.1608
2018/8/20 8:00,353867.061,0.1531,0.1807,0.1514,0.1691
2018/8/21 8:00,249263.2176,0.1559,0.1672,0.147,0.1513
2018/8/22 8:00,268317.4717,0.1453,0.165,0.1442,0.1545
2018/8/23 8:00,147030.6463,0.1509,0.1555,0.14,0.1452
2018/8/24 8:00,185369.7862,0.1633,0.1642,0.1502,0.153
2018/8/25 8:00,132375.8318,0.1672,0.1674,0.1568,0.1631
2018/8/26 8:00,125975.7442,0.1627,0.1654,0.1576,0.164
